name	compactsave	version	level	ShowLevel	levelreq	reqstr	reqdex	rarity	spawnable	DropConditionCalc	speed	nodurability	cost	gamble cost	code	alternategfx	namestr	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	Transmogrify	TMogType	TMogMin	TMogMax	useable	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	lightradius	belt	autobelt	stackable	minstack	maxstack	spawnstack	quest	questdiffcheck	missiletype	spellicon	pSpell	state	cstate1	cstate2	len	stat1	calc1	stat2	calc2	stat3	calc3	spelldesc	spelldescstr	spelldescstr2	spelldesccalc	spelldesccolor	durwarning	qntwarning	gemoffset	BetterGem	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	PermStoreItem	multibuy	Nameable	EventItem	UICatOverride	diablocloneweight	AdvancedStashStackable	UsageConditionCalc
JM supply selector 501	1	100	1	0	1			1	1		0	1	1	0	501	rsc	jm_selector_501	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 502	1	100	1	0	1			1	1		0	1	1	0	502	rsc	jm_selector_502	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 503	1	100	1	0	1			1	1		0	1	1	0	503	rsc	jm_selector_503	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 504	1	100	1	0	1			1	1		0	1	1	0	504	rsc	jm_selector_504	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 505	1	100	1	0	1			1	1		0	1	1	0	505	rsc	jm_selector_505	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 506	1	100	1	0	1			1	1		0	1	1	0	506	rsc	jm_selector_506	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 507	1	100	1	0	1			1	1		0	1	1	0	507	rsc	jm_selector_507	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 508	1	100	1	0	1			1	1		0	1	1	0	508	rsc	jm_selector_508	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 509	1	100	1	0	1			1	1		0	1	1	0	509	rsc	jm_selector_509	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50a	1	100	1	0	1			1	1		0	1	1	0	50a	rsc	jm_selector_50a	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50b	1	100	1	0	1			1	1		0	1	1	0	50b	rsc	jm_selector_50b	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50c	1	100	1	0	1			1	1		0	1	1	0	50c	rsc	jm_selector_50c	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50d	1	100	1	0	1			1	1		0	1	1	0	50d	rsc	jm_selector_50d	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50e	1	100	1	0	1			1	1		0	1	1	0	50e	rsc	jm_selector_50e	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50f	1	100	1	0	1			1	1		0	1	1	0	50f	rsc	jm_selector_50f	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50g	1	100	1	0	1			1	1		0	1	1	0	50g	rsc	jm_selector_50g	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50h	1	100	1	0	1			1	1		0	1	1	0	50h	rsc	jm_selector_50h	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50i	1	100	1	0	1			1	1		0	1	1	0	50i	rsc	jm_selector_50i	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50j	1	100	1	0	1			1	1		0	1	1	0	50j	rsc	jm_selector_50j	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50k	1	100	1	0	1			1	1		0	1	1	0	50k	rsc	jm_selector_50k	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50l	1	100	1	0	1			1	1		0	1	1	0	50l	rsc	jm_selector_50l	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50m	1	100	1	0	1			1	1		0	1	1	0	50m	rsc	jm_selector_50m	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50n	1	100	1	0	1			1	1		0	1	1	0	50n	rsc	jm_selector_50n	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50o	1	100	1	0	1			1	1		0	1	1	0	50o	rsc	jm_selector_50o	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50p	1	100	1	0	1			1	1		0	1	1	0	50p	rsc	jm_selector_50p	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50q	1	100	1	0	1			1	1		0	1	1	0	50q	rsc	jm_selector_50q	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50r	1	100	1	0	1			1	1		0	1	1	0	50r	rsc	jm_selector_50r	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50s	1	100	1	0	1			1	1		0	1	1	0	50s	rsc	jm_selector_50s	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50t	1	100	1	0	1			1	1		0	1	1	0	50t	rsc	jm_selector_50t	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50u	1	100	1	0	1			1	1		0	1	1	0	50u	rsc	jm_selector_50u	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50v	1	100	1	0	1			1	1		0	1	1	0	50v	rsc	jm_selector_50v	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50w	1	100	1	0	1			1	1		0	1	1	0	50w	rsc	jm_selector_50w	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50x	1	100	1	0	1			1	1		0	1	1	0	50x	rsc	jm_selector_50x	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50y	1	100	1	0	1			1	1		0	1	1	0	50y	rsc	jm_selector_50y	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 50z	1	100	1	0	1			1	1		0	1	1	0	50z	rsc	jm_selector_50z	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 510	1	100	1	0	1			1	1		0	1	1	0	510	rsc	jm_selector_510	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0											1	1																																																																										0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 511	1	100	1	0	1			1	1		0	1	1	0	511	rsc	jm_selector_511	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 512	1	100	1	0	1			1	1		0	1	1	0	512	rsc	jm_selector_512	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 513	1	100	1	0	1			1	1		0	1	1	0	513	rsc	jm_selector_513	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 514	1	100	1	0	1			1	1		0	1	1	0	514	rsc	jm_selector_514	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 515	1	100	1	0	1			1	1		0	1	1	0	515	rsc	jm_selector_515	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 516	1	100	1	0	1			1	1		0	1	1	0	516	rsc	jm_selector_516	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 517	1	100	1	0	1			1	1		0	1	1	0	517	rsc	jm_selector_517	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 518	1	100	1	0	1			1	1		0	1	1	0	518	rsc	jm_selector_518	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 519	1	100	1	0	1			1	1		0	1	1	0	519	rsc	jm_selector_519	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51a	1	100	1	0	1			1	1		0	1	1	0	51a	rsc	jm_selector_51a	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51b	1	100	1	0	1			1	1		0	1	1	0	51b	rsc	jm_selector_51b	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51c	1	100	1	0	1			1	1		0	1	1	0	51c	rsc	jm_selector_51c	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51d	1	100	1	0	1			1	1		0	1	1	0	51d	rsc	jm_selector_51d	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51e	1	100	1	0	1			1	1		0	1	1	0	51e	rsc	jm_selector_51e	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51f	1	100	1	0	1			1	1		0	1	1	0	51f	rsc	jm_selector_51f	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51g	1	100	1	0	1			1	1		0	1	1	0	51g	rsc	jm_selector_51g	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51h	1	100	1	0	1			1	1		0	1	1	0	51h	rsc	jm_selector_51h	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51i	1	100	1	0	1			1	1		0	1	1	0	51i	rsc	jm_selector_51i	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51j	1	100	1	0	1			1	1		0	1	1	0	51j	rsc	jm_selector_51j	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51k	1	100	1	0	1			1	1		0	1	1	0	51k	rsc	jm_selector_51k	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51l	1	100	1	0	1			1	1		0	1	1	0	51l	rsc	jm_selector_51l	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51m	1	100	1	0	1			1	1		0	1	1	0	51m	rsc	jm_selector_51m	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51n	1	100	1	0	1			1	1		0	1	1	0	51n	rsc	jm_selector_51n	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51o	1	100	1	0	1			1	1		0	1	1	0	51o	rsc	jm_selector_51o	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51p	1	100	1	0	1			1	1		0	1	1	0	51p	rsc	jm_selector_51p	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51q	1	100	1	0	1			1	1		0	1	1	0	51q	rsc	jm_selector_51q	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51r	1	100	1	0	1			1	1		0	1	1	0	51r	rsc	jm_selector_51r	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51s	1	100	1	0	1			1	1		0	1	1	0	51s	rsc	jm_selector_51s	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51t	1	100	1	0	1			1	1		0	1	1	0	51t	rsc	jm_selector_51t	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51u	1	100	1	0	1			1	1		0	1	1	0	51u	rsc	jm_selector_51u	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51v	1	100	1	0	1			1	1		0	1	1	0	51v	rsc	jm_selector_51v	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0											1	1																																																																										0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51w	1	100	1	0	1			1	1		0	1	1	0	51w	rsc	jm_selector_51w	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51x	1	100	1	0	1			1	1		0	1	1	0	51x	rsc	jm_selector_51x	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51y	1	100	1	0	1			1	1		0	1	1	0	51y	rsc	jm_selector_51y	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 51z	1	100	1	0	1			1	1		0	1	1	0	51z	rsc	jm_selector_51z	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 520	1	100	1	0	1			1	1		0	1	1	0	520	rsc	jm_selector_520	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 521	1	100	1	0	1			1	1		0	1	1	0	521	rsc	jm_selector_521	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 522	1	100	1	0	1			1	1		0	1	1	0	522	rsc	jm_selector_522	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 523	1	100	1	0	1			1	1		0	1	1	0	523	rsc	jm_selector_523	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 524	1	100	1	0	1			1	1		0	1	1	0	524	rsc	jm_selector_524	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 525	1	100	1	0	1			1	1		0	1	1	0	525	rsc	jm_selector_525	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 526	1	100	1	0	1			1	1		0	1	1	0	526	rsc	jm_selector_526	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
JM supply selector 527	1	100	1	0	1			1	1		0	1	1	0	527	rsc	jm_selector_527	16	1	1	0	0	0	flpgsy	invgsye		0	xxx			0	torc		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0			0	0	-1																0	0	0	non	0																																																																																						0	0	0	xxx	xxx			1	0			scrlt			
