Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Garnet	100	1		27		20				6	118	res-fire		9	9									lred	scha												0	0
Ruby	100	1	1	40		32				12	118	res-fire		11	11										scha												0	0
Russet	1	1	1	12		9				4	118	res-fire		20	20										armo	ring	amul	orb	circ								0	0
Russet	1	1	1	35		26				3	118	res-fire		20	20										weap							orb					0	0
Garnet	1	1	1	18		13				3	118	res-fire		30	30										armo	ring	amul	orb	circ								0	0
Garnet	1	1	1	55		41				6	118	res-fire		30	30										weap							orb					0	0
Ruby	1	1	1	25		18				9	118	res-fire		40	40									lred	rod	boot	amul	orb	circ								0	0
Garnet	100	1	1	2		1				4	117	res-fire		14	15									lred	jewl												0	0
Ruby	100	1	1	18		13				4	117	res-fire		29	30									lred	jewl												0	0
Tangerine	100	1	1	1		1				2	119	res-ltng		15	15										lcha												0	0
Ocher	100	1	1	10		7				2	119	res-ltng		20	20										lcha												0	0
Coral	100	1	1	20		15				6	119	res-ltng		25	25										lcha												0	0
Amber	100	1		30		22				6	119	res-ltng		30	30										lcha												0	0
Tangerine	100	1	1	1		1				2	119	res-ltng		7	7										mcha												0	0
Ocher	100	1	1	16		12				2	119	res-ltng		10	10										mcha												0	0
Coral	100	1	1	25		18				6	119	res-ltng		12	12									lyel	mcha												0	0
Amber	100	1		35		27				6	119	res-ltng		15	15									lyel	mcha												0	0
Tangerine	100	1	1	1		1				2	119	res-ltng		5	5										scha												0	0
Ocher	100	1	1	14		10				2	119	res-ltng		7	7										scha												0	0
Coral	100	1	1	27		20				6	119	res-ltng		9	9									lyel	scha												0	0
Amber	100	1		40		32				12	119	res-ltng		11	11									lyel	scha												0	0
Tangerine	1	1	1	5		3				4	119	res-ltng		10	10										armo	weap	ring	amul	orb	circ							0	0
Ocher	1	1	1	12		9				4	119	res-ltng		20	20										armo	ring	amul	orb	circ								0	0
Ocher	1	1	1	35		26				3	119	res-ltng		20	20										weap							orb					0	0
Coral	1	1	1	18		13				3	119	res-ltng		30	30										armo	ring	amul	orb	circ								0	0
Coral	1	1	1	55		41				6	119	res-ltng		30	30										weap							orb					0	0
Amber	1	1	1	25		18				9	119	res-ltng		40	40									lyel	rod	boot	amul	orb	circ								0	0
Camphor	100	1	1	2		1				4	117	res-ltng		14	15									lyel	jewl												0	0
Ambergris	100	1	1	19		14				4	117	res-ltng		29	30									lyel	jewl												0	0
Beryl	100	1	1	1		1				2	120	res-pois		15	15										lcha												0	0
Viridian	100	1	1	10		7				2	120	res-pois		20	20										lcha												0	0
Jade	100	1	1	20		15				6	120	res-pois		25	25										lcha												0	0
Emerald	100	1		30		22				6	120	res-pois		30	30										lcha												0	0
Beryl	100	1	1	1		1				2	120	res-pois		7	7										mcha												0	0
Viridian	100	1	1	16		12				2	120	res-pois		10	10										mcha												0	0
Jade	100	1	1	25		18				6	120	res-pois		12	12									cgrn	mcha												0	0
Emerald	100	1		35		27				6	120	res-pois		15	15									cgrn	mcha												0	0
Beryl	100	1	1	1		1				2	120	res-pois		5	5										scha												0	0
Viridian	100	1	1	14		10				2	120	res-pois		7	7										scha												0	0
Jade	100	1	1	27		20				6	120	res-pois		9	9									cgrn	scha												0	0
Emerald	100	1		40		32				12	120	res-pois		11	11									cgrn	scha												0	0
Beryl	1	1	1	5		3				4	120	res-pois		10	10										armo	weap	ring	amul	orb	circ							0	0
Viridian	1	1	1	12		9				4	120	res-pois		20	20										armo	ring	amul	orb	circ								0	0
Viridian	1	1	1	35		26				3	120	res-pois		20	20										weap							orb					0	0
Jade	1	1	1	18		13				3	120	res-pois		30	30										armo	ring	amul	orb	circ								0	0
Jade	1	1	1	55		41				6	120	res-pois		30	30										weap							orb					0	0
Emerald	1	1	1	25		18				9	120	res-pois		40	40									cgrn	rod	boot	amul	orb	circ								0	0
Beryl	100	1	1	2		1				4	117	res-pois		14	15									cgrn	jewl												0	0
Jade	100	1	1	19		14				4	117	res-pois		29	30									cgrn	jewl												0	0
Triumphant	1	1	1	3		2				4	121	mana-kill		1	1										weap	ring	circ										0	0
Victorious	100	1	1	17		12				4	121	mana-kill		5	5										weap	circ											0	0
Aureolin	100	1	1	22		16				12	121	mana-kill		3	3										jewl												0	0
Mechanist's	100	1	1	10		7				3	122	sock		2	2										weap	shld	helm	tors	circ			thro					0	0
Artificer's	100	1		33		25				6	122	sock	3												weap	shld	helm	tors				thro					0	0
Jeweler's	100	1		55		47				6	122	sock	4												weap	shld	helm	tors				thro					0	0
Assamic	100	1	1	3		1				2	123	att-demon		48	50	dmg-demon		24	25						weap	circ						wand	orb				0	0
Arcadian	100	1	1	15		11				2	123	att-demon		96	100	dmg-demon		48	50						weap	circ						wand	orb				0	0
Unearthly	100	1	1	25		18				3	123	att-demon		146	150	dmg-demon		96	100						weap							wand	orb				0	0
Astral	100	1	1	35		26				3	123	att-demon		196	200	dmg-demon		146	150						weap							wand	orb				0	0
Elysian	100	1	1	45		33				6	123	att-demon		291	300	dmg-demon		196	200					dgld	weap							wand	orb				0	0
Celestial	100	1		55		41				6	123	att-demon		391	400	dmg-demon		291	300					dgld	weap							wand	orb				0	0
Diamond	100	1	1	26		19				3	123	att-demon		48	50	dmg-demon		39	40						jewl												0	0
Fletcher's	100	1		50		42	ama			6	125	skilltab	0	1	1										lcha												0	0
Acrobat's	100	1		50		42	ama			6	125	skilltab	1	1	1										lcha												0	0
Harpoonist's	100	1		50		42	ama			6	125	skilltab	2	1	1										lcha												0	0
Fletcher's	100	1	1	20		15	ama			3	125	skilltab	0	1	1										miss	glov											0	0
Bowyer's	100	1	1	40		30	ama			6	125	skilltab	0	2	2									lgld	miss	glov											0	0
Archer's	100	1		60		45	ama			10	125	skilltab	0	3	3									lgld	miss	glov											0	0
Acrobat's	100	1	1	20		15	ama			3	125	skilltab	1	1	1										glov	amul	circ										0	0
Gymnast's	100	1	1	40		30	ama			6	125	skilltab	1	2	2									lgld	glov	amul	circ										0	0
Athlete's	100	1		60		45	ama			10	125	skilltab	1	3	3									lgld	glov	amul	circ										0	0
Harpoonist's	100	1	1	20		15	ama			3	125	skilltab	2	1	1										spea	glov											0	0
Spearmaiden's	100	1	1	40		30	ama			6	125	skilltab	2	2	2									lgld	spea	glov											0	0
Lancer's	100	1		60		45	ama			10	125	skilltab	2	3	3									lgld	spea	glov											0	0
Burning	100	1	1	50		42	sor			6	125	skilltab	3	1	1										lcha												0	0
Sparking	100	1	1	50		42	sor			6	125	skilltab	4	1	1										lcha												0	0
Chilling	100	1	1	50		42	sor			6	125	skilltab	5	1	1										lcha												0	0
Burning	100	1	1	20		15	sor			3	125	skilltab	3	1	1										staff	orb	amul	circ									0	0
Blazing	100	1	1	40		30	sor			6	125	skilltab	3	2	2									lgld	staff	orb	amul	circ									0	0
Volcanic	100	1		60		45	sor			10	125	skilltab	3	3	3									lgld	staff	orb	amul	circ									0	0
Sparking	100	1	1	20		15	sor			3	125	skilltab	4	1	1										staff	orb	amul	circ									0	0
Charged	100	1	1	40		30	sor			6	125	skilltab	4	2	2									lgld	staff	orb	amul	circ									0	0
Powered	100	1		60		45	sor			10	125	skilltab	4	3	3									lgld	staff	orb	amul	circ									0	0
Chilling	100	1	1	20		15	sor			3	125	skilltab	5	1	1										staff	orb	amul	circ									0	0
Freezing	100	1	1	40		30	sor			6	125	skilltab	5	2	2									lgld	staff	orb	amul	circ									0	0
Glacial	100	1		60		45	sor			10	125	skilltab	5	3	3									lgld	staff	orb	amul	circ									0	0
Hexing	100	1	1	50		42	nec			6	125	skilltab	6	1	1										lcha												0	0
Fungal	100	1	1	50		42	nec			6	125	skilltab	7	1	1										lcha												0	0
Graverobber's	100	1	1	50		42	nec			6	125	skilltab	8	1	1										lcha												0	0
Hexing	100	1	1	20		15	nec			3	125	skilltab	6	1	1										wand	head	amul	circ									0	0
Blighting	100	1	1	40		30	nec			6	125	skilltab	6	2	2									lgld	wand	head	amul	circ									0	0
Accursed	100	1		60		45	nec			10	125	skilltab	6	3	3									lgld	wand	head	amul	circ									0	0
Fungal	100	1	1	20		15	nec			3	125	skilltab	7	1	1										wand	head	amul	knif	circ			tkni					0	0
Noxious	100	1	1	40		30	nec			6	125	skilltab	7	2	2									lgld	wand	head	amul	knif	circ			tkni					0	0
Venomous	100	1		60		45	nec			10	125	skilltab	7	3	3									lgld	wand	head	amul	knif	circ			tkni					0	0
Graverobber's	100	1	1	20		15	nec			3	125	skilltab	8	1	1										wand	head	amul	circ									0	0
Vodoun	100	1	1	40		30	nec			6	125	skilltab	8	2	2									lgld	wand	head	amul	circ									0	0
Golemlord's	100	1		60		45	nec			10	125	skilltab	8	3	3									lgld	wand	head	amul	circ									0	0
Lion Branded	100	1	1	50		42	pal			6	125	skilltab	9	1	1										lcha												0	0
Captain's	100	1	1	50		42	pal			6	125	skilltab	10	1	1										lcha												0	0
Preserver's	100	1	1	50		42	pal			6	125	skilltab	11	1	1										lcha												0	0
Lion Branded	100	1	1	20		15	pal			3	125	skilltab	9	1	1										scep	swor	mace	shld	ashd	amul	circ						0	0
Hawk Branded	100	1	1	40		30	pal			6	125	skilltab	9	2	2									lgld	scep	swor	mace	shld	ashd	amul	circ						0	0
Rose Branded	100	1		60		45	pal			10	125	skilltab	9	3	3									lgld	scep	swor	mace	shld	ashd	amul	circ						0	0
Captain's	100	1	1	20		15	pal			3	125	skilltab	10	1	1										scep	swor	mace	shld	ashd	amul	circ						0	0
Commander's	100	1	1	40		30	pal			6	125	skilltab	10	2	2									lgld	scep	swor	mace	shld	ashd	amul	circ						0	0
Marshal's	100	1		60		45	pal			10	125	skilltab	10	3	3									lgld	scep	swor	mace	shld	ashd	amul	circ						0	0
Preserver's	100	1	1	20		15	pal			3	125	skilltab	11	1	1										shld	ashd	amul	circ									0	0
Warder's	100	1	1	40		30	pal			6	125	skilltab	11	2	2									lgld	shld	ashd	amul	circ									0	0
Guardian's	100	1		60		45	pal			10	125	skilltab	11	3	3									lgld	shld	ashd	amul	circ									0	0
Expert's	100	1	1	50		42	bar			6	125	skilltab	12	1	1										lcha												0	0
Fanatic	100	1	1	50		42	bar			6	125	skilltab	13	1	1										lcha												0	0
Sounding	100	1	1	50		42	bar			6	125	skilltab	14	1	1										lcha												0	0
Expert's	100	1	1	20		15	bar			3	125	skilltab	12	1	1										phlm	weap	helm					miss	rod				0	0
Veteran's	100	1	1	40		30	bar			6	125	skilltab	12	2	2									lgld	phlm	weap	helm					miss	rod				0	0
Master's	100	1		60		45	bar			10	125	skilltab	12	3	3									lgld	phlm	weap	helm					miss	rod				0	0
Fanatic	100	1	1	20		15	bar			3	125	skilltab	13	1	1										phlm	weap	amul					miss	rod				0	0
Raging	100	1	1	40		30	bar			6	125	skilltab	13	2	2									lgld	phlm	weap	amul					miss	rod				0	0
Furious	100	1		60		45	bar			10	125	skilltab	13	3	3									lgld	phlm	weap	amul					miss	rod				0	0
Sounding	100	1	1	20		15	bar			3	125	skilltab	14	1	1										phlm	weap	amul					miss	rod				0	0
Resonant	100	1	1	40		30	bar			6	125	skilltab	14	2	2									lgld	phlm	weap	amul					miss	rod				0	0
Echoing	100	1		60		45	bar			10	125	skilltab	14	3	3									lgld	phlm	weap	amul					miss	rod				0	0
Trainer's	100	1	1	50		42	dru			6	125	skilltab	15	1	1										lcha												0	0
Spiritual	100	1	1	50		42	dru			6	125	skilltab	16	1	1										lcha												0	0
Nature's	100	1	1	50		42	dru			6	125	skilltab	17	1	1										lcha												0	0
Trainer's	100	1	1	20		15	dru			3	125	skilltab	15	1	1										club	pelt	amul	circ									0	0
Caretaker's	100	1	1	40		30	dru			6	125	skilltab	15	2	2									lgld	club	pelt	amul	circ									0	0
Keeper's	100	1		60		45	dru			10	125	skilltab	15	3	3									lgld	club	pelt	amul	circ									0	0
Spiritual	100	1	1	20		15	dru			3	125	skilltab	16	1	1										club	pelt	amul	circ									0	0
Feral	100	1	1	40		30	dru			6	125	skilltab	16	2	2									lgld	club	pelt	amul	circ									0	0
Communal	100	1		60		45	dru			10	125	skilltab	16	3	3									lgld	club	pelt	amul	circ									0	0
Nature's	100	1	1	20		15	dru			3	125	skilltab	17	1	1										club	pelt	amul	circ									0	0
Terra's	100	1	1	40		30	dru			6	125	skilltab	17	2	2									lgld	club	pelt	amul	circ									0	0
Gaea's	100	1		60		45	dru			10	125	skilltab	17	3	3									lgld	club	pelt	amul	circ									0	0
Entrapping	100	1	1	50		42	ass			6	125	skilltab	18	1	1										lcha												0	0
Mentalist's	100	1	1	50		42	ass			6	125	skilltab	19	1	1										lcha												0	0
Shogukusha's	100	1	1	50		42	ass			6	125	skilltab	20	1	1										lcha												0	0
Entrapping	100	1	1	20		15	ass			3	125	skilltab	18	1	1										h2h	amul	circ										0	0
Trickster's	100	1	1	40		30	ass			6	125	skilltab	18	2	2									lgld	h2h	amul	circ										0	0
Cunning	100	1		60		45	ass			10	125	skilltab	18	3	3									lgld	h2h	amul	circ										0	0
Mentalist's	100	1	1	20		15	ass			3	125	skilltab	19	1	1										h2h	amul	helm	circ									0	0
Psychic	100	1	1	40		30	ass			6	125	skilltab	19	2	2									lgld	h2h	amul	helm	circ									0	0
Shadow	100	1		60		45	ass			10	125	skilltab	19	3	3									lgld	h2h	amul	helm	circ									0	0
Shogukusha's	100	1	1	20		15	ass			3	125	skilltab	20	1	1										h2h	amul	glov	circ									0	0
Sensei's	100	1	1	40		30	ass			6	125	skilltab	20	2	2									lgld	h2h	amul	glov	circ									0	0
Kenshi's	100	1		60		45	ass			10	125	skilltab	20	3	3									lgld	h2h	amul	glov	circ									0	0
Miocene	100			1		1				1	101	ac/lvl	6											whit	tors												0	0
Miocene	100		1	1		1				1	101	ac/lvl	1											whit	glov	boot	belt	shld									0	0
Oligocene	100		1	10		7				1	101	ac/lvl	9											whit	tors												0	0
Oligocene	100		1	10		7				1	101	ac/lvl	2											whit	glov	boot	belt	shld									0	0
Eocene	100		1	20		15				1	101	ac/lvl	18											whit	tors												0	0
Eocene	100		1	20		15				1	101	ac/lvl	3											whit	glov	boot	belt	shld									0	0
Paleocene	100	1	1	30		22				12	101	ac/lvl	24											whit	tors												0	0
Paleocene	100	1	1	30		22				9	101	ac/lvl	4											whit	glov	boot	belt	shld									0	0
Knave's	100			1		1				1	111	dmg/lvl	1			att/lvl	10							whit	weap							staf	wand	orb			0	0
Jack's	100		1	10		7				1	111	dmg/lvl	2			att/lvl	15							whit	weap							staf	wand	orb			0	0
Jester's	100		1	20		15				1	111	dmg/lvl	3			att/lvl	22							whit	weap							staf	wand	orb			0	0
Joker's	100		1	35		26				1	111	dmg/lvl	4			att/lvl	33							whit	weap							staf	wand	orb			0	0
Trump	100	1	1	50		37				42	111	dmg/lvl	4			att/lvl	33							whit	weap							staf	wand	orb			0	0
Loud	100			1		1				1	105	dmg/lvl	2											whit	weap							staf	wand	orb			0	0
Calling	100		1	10		7				1	105	dmg/lvl	3											whit	weap							staf	wand	orb			0	0
Yelling	100		1	20		15				1	105	dmg/lvl	4											whit	weap							staf	wand	orb			0	0
Shouting	100		1	35		26				1	105	dmg/lvl	5											whit	weap							staf	wand	orb			0	0
Gritty	100	1	1	50		37				42	105	dmg/lvl	6											whit	weap							staf	wand	orb			0	0
Paradox	100		1	25		18				1	101	ac%/lvl	12											whit	tors												0	0
Paradox	100		1	25		18				1	105	dmg%/lvl	12											whit	weap							staf	wand	orb			0	0
Robineye	100			1		1				1	111	att/lvl	4											whit	weap							staf	wand	orb			0	0
Sparroweye	100			10		7				1	111	att/lvl	6											whit	weap							staf	wand	orb			0	0
Falconeye	100			20		15				1	111	att/lvl	8											whit	weap							staf	wand	orb			0	0
Hawkeye	100	1		35		26				21	111	att/lvl	12											whit	weap							staf	wand	orb			0	0
Eagleeye	100			50		37				1	111	att/lvl	16											whit	weap							staf	wand	orb			0	0
Visionary	100	1	1	25		18				3	111	att%/lvl	2											whit	helm	miss											0	0
Mnemonic	100	1	1	25		18				3	115	mana/lvl	6											cblu	helm												0	0
Snowflake	100	1	1	25		18				9	137	cold-len		25	25	cold-min		9	9	cold-max		29	30	lblu	weap	circ											0	0
Shivering	100	1	1	35		26				6	137	cold-len		50	50	cold-min		15	15	cold-max		44	45	lblu	weap												0	0
Boreal	100	1	1	50		40				6	137	cold-len		75	75	cold-min		23	23	cold-max		86	90	lblu	weap												0	0
Hibernal	100	1	1	70		60				10	137	cold-len		100	100	cold-min		43	45	cold-max		136	140	lblu	weap												0	0
Ember	100	1	1	25		18				9	138	fire-min		25	25	fire-max		58	60					dred	weap	circ											0	0
Smoldering	100	1	1	35		26				6	138	fire-min		48	50	fire-max		88	90					dred	weap												0	0
Smoking	100	1	1	47		37				6	138	fire-min		78	80	fire-max		127	130					dred	weap												0	0
Flaming	100	1	1	61		51				10	138	fire-min		117	120	fire-max		176	180					dred	weap												0	0
Scorching	100	1	1	77		67				10	138	fire-min		166	170	fire-max		235	240					dred	weap												0	0
Static	100	1	1	25		18				9	139	ltng-min		1	1	ltng-max		113	120					lyel	weap	circ											0	0
Glowing	100	1	1	34		25				6	139	ltng-min		1	1	ltng-max		175	180					lyel	weap												0	0
Buzzing	100	1	1	46		36				6	139	ltng-min		1	1	ltng-max		253	260					lyel	weap												0	0
Arcing	100	1	1	60		50				10	139	ltng-min		1	1	ltng-max		351	360					lyel	weap												0	0
Shocking	100	1	1	76		66				10	139	ltng-min		1	1	ltng-max		469	480					lyel	weap												0	0
Septic	100	1	1	1		1				3	140	dmg-pois	50	31	31									dgrn	weap	circ											0	0
Envenomed	100	1	1	10		7				2	140	dmg-pois	75	41	41									dgrn	weap												0	0
Corosive	100	1	1	20		15				3	140	dmg-pois	100	205	205									dgrn	weap												0	0
Toxic	100	1	1	35		26				3	140	dmg-pois	125	308	308									dgrn	weap												0	0
Pestilent	100	1		50		37				6	140	dmg-pois	150	470	470									dgrn	weap												0	0
Maiden's	1	1	1	36		27	ama			12	125	ama		1	1										amul	circ											0	0
Valkyrie's	1	1	1	90		67	ama			30	125	ama		2	2									cgrn	amul	circ											0	0
Maiden's	1	1	1	30		22	ama			12	125	ama		1	1										miss	spea											0	0
Valkyrie's	1	1	1	50		42	ama			12	125	ama		2	2									cgrn	miss	spea											0	0
Monk's	1	1	1	36		27	pal			12	125	pal		1	1										amul	circ											0	0
Priest's	1	1	1	90		67	pal			30	125	pal		2	2									cgrn	amul	circ											0	0
Monk's	1	1	1	30		22	pal			12	125	pal		1	1										scep	ashd											0	0
Priest's	1	1	1	50		42	pal			12	125	pal		2	2									cgrn	scep	ashd											0	0
Monk's	1	1	1	35		27	pal			12	125	pal		1	1										swor	mace	hamm	shld									0	0
Priest's	1	1	1	65		58	pal			20	125	pal		2	2									cgrn	swor	mace	hamm	shld									0	0
Summoner's	1	1	1	36		27	nec			12	125	nec		1	1										amul	circ											0	0
Necromancer's	1	1	1	90		67	nec			30	125	nec		2	2									cgrn	amul	circ											0	0
Summoner's	1	1	1	30		22	nec			12	125	nec		1	1										wand	knif	head										0	0
Necromancer's	1	1	1	50		42	nec			12	125	nec		2	2									cgrn	wand	knif	head										0	0
Angel's	1	1	1	36		27	sor			12	125	sor		1	1										amul	circ											0	0
Arch-Angel's	1	1	1	90		67	sor			30	125	sor		2	2									cgrn	amul	circ											0	0
Angel's	1	1	1	30		22	sor			12	125	sor		1	1										staf	orb											0	0
Arch-Angel's	1	1	1	50		42	sor			12	125	sor		2	2									cgrn	staf	orb											0	0
Slayer's	1	1	1	36		27	bar			12	125	bar		1	1										amul	circ											0	0
Berserker's	1	1	1	90		67	bar			30	125	bar		2	2									cgrn	amul	circ											0	0
Slayer's	1	1	1	30		22	bar			12	125	bar		1	1										tkni	axe	spea	club	swor	hamm	mace	jave					0	0
Berserker's	1	1	1	50		42	bar			6	125	bar		2	2									cgrn	tkni	axe	spea	club	swor	hamm	mace	jave					0	0
Slayer's	100	1	1	30		22	bar			12	125	bar		1	1										phlm												0	0
Berserker's	100	1	1	50		42	bar			12	125	bar		2	2									cgrn	phlm												0	0
Shaman's	100	1	1	36		27	dru			12	125	dru		1	1										amul	circ											0	0
Hierophant's	100	1	1	90		67	dru			30	125	dru		2	2									cgrn	amul	circ											0	0
Shaman's	100	1	1	30		22	dru			12	125	dru		1	1										club	pelt											0	0
Hierophant's	100	1	1	50		42	dru			12	125	dru		2	2									cgrn	club	pelt											0	0
Magekiller's	100	1	1	36		27	ass			12	125	ass		1	1										amul	circ											0	0
Witch-hunter's	100	1	1	90		67	ass			30	125	ass		2	2									cgrn	amul	circ											0	0
Magekiller's	100	1	1	30		22	ass			12	125	ass		1	1										h2h												0	0
Witch-hunter's	100	1	1	50		42	ass			12	125	ass		2	2									cgrn	h2h												0	0
Compact	100	1	1	1		1				6	141	stack		38	40										thro												0	0
Thin	100	1	1	17		12				5	141	stack		77	80										thro												0	0
Dense	100	1	1	38		30				12	141	stack		117	120										thro												0	0
Consecrated	100	1	1	1		1				4	142	att-undead		70	75	dmg-undead		70	75						weap							wand	orb				0	0
Pure	100	1	1	15		11				3	142	att-undead		166	175	dmg-undead		121	125					lgld	weap							wand	orb				0	0
Sacred	100	1	1	25		18				6	142	att-undead		243	250	dmg-undead		193	200					lgld	weap							wand	orb				0	0
Hallowed	100	1	1	35		27				3	142	att-undead		318	325	dmg-undead		268	275					lgld	weap							wand	orb				0	0
Divine	100	1		45		37				6	142	att-undead		438	450	dmg-undead		343	350					lgld	weap							wand	orb				0	0
Pearl	100	1	1	18		13				1	142	att-undead		48	50	dmg-undead		48	50						jewl												0	0
Crimson	1	1	1	5		3				4	118	res-fire		10	10										armo	ring	amul	orb	circ	weap							0	0
Red	100	1	1	15		11				4	103	dmg-min		1	1										lcha												0	0
Sanguinary	100	1	1	45		37				24	103	dmg-min		2	2										lcha												0	0
Bloody	100	1		75		67				40	103	dmg-min		3	3										lcha												0	0
Red	100	1	1	30		22				12	103	dmg-min		1	1									dred	mcha												0	0
Sanguinary	100	1		60		52				40	103	dmg-min		2	2									dred	mcha												0	0
Red	100	1	1	90		82				60	103	dmg-min		1	1									dred	scha												0	0
Jagged	100	1	1	7		5				4	104	dmg-max		1	1										lcha												0	0
Forked	100	1	1	37		29				12	104	dmg-max		2	2										lcha												0	0
Serrated	100	1		67		59				40	104	dmg-max		3	3										lcha												0	0
Jagged	100	1	1	22		16				12	104	dmg-max		1	1									blac	mcha												0	0
Forked	100	1		52		44				24	104	dmg-max		2	2									blac	mcha												0	0
Jagged	100	1	1	81		73				60	104	dmg-max		1	1									blac	scha												0	0
Snowflake	100	1	1	9		6				2	137	cold-len		25	25	cold-min		1	1	cold-max		3	3		lcha												0	0
Shivering	100	1	1	15		11				1	137	cold-len		25	25	cold-min		4	4	cold-max		8	8		lcha												0	0
Boreal	100	1	1	30		22				3	137	cold-len		25	25	cold-min		7	7	cold-max		15	15		lcha												0	0
Hibernal	100	1		45		38				6	137	cold-len		25	25	cold-min		13	13	cold-max		25	25		lcha												0	0
Snowflake	100	1	1	18		13				2	137	cold-len		25	25	cold-min		3	3	cold-max		5	5		mcha												0	0
Shivering	100	1	1	29		21				3	137	cold-len		25	25	cold-min		5	5	cold-max		10	10		mcha												0	0
Boreal	100	1	1	49		41				6	137	cold-len		25	25	cold-min		10	10	cold-max		20	20	lblu	mcha												0	0
Hibernal	100	1		69		61				10	137	cold-len		25	25	cold-min		15	15	cold-max		30	30	lblu	mcha												0	0
Snowflake	100	1	1	27		20				6	137	cold-len		25	25	cold-min		2	2	cold-max		4	4		scha												0	0
Shivering	100	1	1	42		34				6	137	cold-len		25	25	cold-min		4	4	cold-max		8	8		scha												0	0
Boreal	100	1	1	66		58				10	137	cold-len		25	25	cold-min		7	7	cold-max		14	14	lblu	scha												0	0
Hibernal	100	1		91		83				15	137	cold-len		25	25	cold-min		10	10	cold-max		20	20	lblu	scha												0	0
Ember	100	1	1	5		3				2	138	fire-min		1	1	fire-max		3	3						lcha												0	0
Smoldering	100	1	1	15		11				1	138	fire-min		3	3	fire-max		7	7						lcha												0	0
Smoking	100	1	1	28		21				3	138	fire-min		7	7	fire-max		18	19						lcha												0	0
Flaming	100	1		43		35				6	138	fire-min		17	18	fire-max		35	36						lcha												0	0
Ember	100	1	1	13		9				2	138	fire-min		1	1	fire-max		3	3						mcha												0	0
Smoldering	100	1	1	27		20				3	138	fire-min		3	3	fire-max		12	12						mcha												0	0
Smoking	100	1	1	47		39				6	138	fire-min		9	9	fire-max		26	27					lred	mcha												0	0
Flaming	100	1		67		59				10	138	fire-min		26	27	fire-max		42	43					lred	mcha												0	0
Ember	100	1	1	21		15				6	138	fire-min		1	1	fire-max		3	3						scha												0	0
Smoldering	100	1	1	40		32				6	138	fire-min		3	3	fire-max		10	10						scha												0	0
Smoking	100	1	1	64		56				10	138	fire-min		9	9	fire-max		19	19					lred	scha												0	0
Flaming	100	1		89		81				15	138	fire-min		19	19	fire-max		29	29					lred	scha												0	0
Static	100	1	1	7		5				2	139	ltng-min		1	1	ltng-max		5	5						lcha												0	0
Glowing	100	1	1	14		10				1	139	ltng-min		1	1	ltng-max		16	17						lcha												0	0
Arcing	100	1	1	29		21				3	139	ltng-min		1	1	ltng-max		42	44						lcha												0	0
Shocking	100	1		44		36				6	139	ltng-min		1	1	ltng-max		76	79						lcha												0	0
Static	100	1	1	14		10				2	139	ltng-min		1	1	ltng-max		9	9						mcha												0	0
Glowing	100	1	1	28		20				3	139	ltng-min		1	1	ltng-max		25	26						mcha												0	0
Arcing	100	1	1	48		40				6	139	ltng-min		1	1	ltng-max		55	58					whit	mcha												0	0
Shocking	100	1		68		60				10	139	ltng-min		1	1	ltng-max		87	90					whit	mcha												0	0
Static	100	1	1	23		17				6	139	ltng-min		1	1	ltng-max		11	11						scha												0	0
Glowing	100	1	1	41		33				6	139	ltng-min		1	1	ltng-max		23	24						scha												0	0
Arcing	100	1	1	65		57				10	139	ltng-min		1	1	ltng-max		42	43					whit	scha												0	0
Shocking	100	1		90		82				15	139	ltng-min		1	1	ltng-max		69	71					whit	scha												0	0
Septic	100	1	1	1		1				2	140	dmg-pois	75	18	18										lcha												0	0
Envenomed	100	1	1	12		9				1	140	dmg-pois	100	39	39										lcha												0	0
Toxic	100	1	1	27		20				3	140	dmg-pois	125	103	103										lcha												0	0
Pestilent	100	1		42		34				6	140	dmg-pois	150	171	171										lcha												0	0
Septic	100	1	1	9		6				2	140	dmg-pois	75	35	35										mcha												0	0
Envenomed	100	1	1	26		19				3	140	dmg-pois	100	77	77										mcha												0	0
Toxic	100	1	1	46		38				6	140	dmg-pois	125	185	185									dgrn	mcha												0	0
Pestilent	100	1		66		58				10	140	dmg-pois	150	299	299									dgrn	mcha												0	0
Septic	100	1	1	18		13				2	140	dmg-pois	75	52	52										scha												0	0
Envenomed	100	1	1	39		31				3	140	dmg-pois	100	128	128										scha												0	0
Toxic	100	1	1	63		55				10	140	dmg-pois	125	205	205									dgrn	scha												0	0
Pestilent	100	1		88		80				15	140	dmg-pois	150	299	299									dgrn	scha												0	0
Tireless	1	1	1	1	5	1				4	108	regen-stam		10	10										boot												0	0
Lizard's	1	1	1	1	2	1				4	115	mana		2	2										armo	ring	amul	rod	orb			boot	glov				0	0
Azure	1	1	1	1	4	1				3	117	res-cold		5	5										armo	ring	amul	orb	circ								0	0
Crimson	1	1	1	1	4	1				3	118	res-fire		5	5										armo	ring	amul	orb	circ								0	0
Tangerine	1	1	1	1	4	1				3	119	res-ltng		5	5										armo	ring	amul	orb	circ								0	0
Beryl	1	1	1	1	4	1				3	120	res-pois		5	5										armo	ring	amul	orb	circ								0	0
