description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
JM unique-pole create 541	1				100					2	541	key						Razortine	100		100																										541	1																												key	1																												0
JM unique-pole next 542	1				100					2	542	tsc						543																													tsc	1																																																									0
JM unique-pole previous 542	1				100					2	542	isc						541																													isc	1																																																									0
JM unique-pole create 542	1				100					2	542	key						Soul Harvest	100		100																										542	1																												key	1																												0
JM unique-pole next 543	1				100					2	543	tsc						544																													tsc	1																																																									0
JM unique-pole previous 543	1				100					2	543	isc						542																													isc	1																																																									0
JM unique-pole create 543	1				100					2	543	key						Soulfeast Tine	100		100																										543	1																												key	1																												0
JM unique-pole next 544	1				100					2	544	tsc						545																													tsc	1																																																									0
JM unique-pole previous 544	1				100					2	544	isc						543																													isc	1																																																									0
JM unique-pole create 544	1				100					2	544	key						Spire of Honor	100		100																										544	1																												key	1																												0
JM unique-pole next 545	1				100					2	545	tsc						546																													tsc	1																																																									0
JM unique-pole previous 545	1				100					2	545	isc						544																													isc	1																																																									0
JM unique-pole create 545	1				100					2	545	key						Steelgoad	100		100																										545	1																												key	1																												0
JM unique-pole next 546	1				100					2	546	tsc						547																													tsc	1																																																									0
JM unique-pole previous 546	1				100					2	546	isc						545																													isc	1																																																									0
JM unique-pole create 546	1				100					2	546	key						Steelpillar	100		100																										546	1																												key	1																												0
JM unique-pole next 547	1				100					2	547	tsc						548																													tsc	1																																																									0
JM unique-pole previous 547	1				100					2	547	isc						546																													isc	1																																																									0
JM unique-pole create 547	1				100					2	547	key						Stormspire	100		100																										547	1																												key	1																												0
JM unique-pole next 548	1				100					2	548	tsc						549																													tsc	1																																																									0
JM unique-pole previous 548	1				100					2	548	isc						547																													isc	1																																																									0
JM unique-pole create 548	1				100					2	548	key						The Battlebranch	100		100																										548	1																												key	1																												0
JM unique-pole next 549	1				100					2	549	tsc						54a																													tsc	1																																																									0
JM unique-pole previous 549	1				100					2	549	isc						548																													isc	1																																																									0
JM unique-pole create 549	1				100					2	549	key						The Dragon Chang	100		100																										549	1																												key	1																												0
JM unique-pole next 54a	1				100					2	54a	tsc						54b																													tsc	1																																																									0
JM unique-pole previous 54a	1				100					2	54a	isc						549																													isc	1																																																									0
JM unique-pole create 54a	1				100					2	54a	key						The Grim Reaper	100		100																										54a	1																												key	1																												0
JM unique-pole next 54b	1				100					2	54b	tsc						54c																													tsc	1																																																									0
JM unique-pole previous 54b	1				100					2	54b	isc						54a																													isc	1																																																									0
JM unique-pole create 54b	1				100					2	54b	key						The Impaler	100		100																										54b	1																												key	1																												0
JM unique-pole next 54c	1				100					2	54c	tsc						54d																													tsc	1																																																									0
JM unique-pole previous 54c	1				100					2	54c	isc						54b																													isc	1																																																									0
JM unique-pole create 54c	1				100					2	54c	key						The Meat Scraper	100		100																										54c	1																												key	1																												0
JM unique-pole next 54d	1				100					2	54d	tsc						54e																													tsc	1																																																									0
JM unique-pole previous 54d	1				100					2	54d	isc						54c																													isc	1																																																									0
JM unique-pole create 54d	1				100					2	54d	key						The Reaper's Toll	100		100																										54d	1																												key	1																												0
JM unique-pole next 54e	1				100					2	54e	tsc						54f																													tsc	1																																																									0
JM unique-pole previous 54e	1				100					2	54e	isc						54d																													isc	1																																																									0
JM unique-pole create 54e	1				100					2	54e	key						The Tannr Gorerod	100		100																										54e	1																												key	1																												0
JM unique-pole next 54f	1				100					2	54f	tsc						54g																													tsc	1																																																									0
JM unique-pole previous 54f	1				100					2	54f	isc						54e																													isc	1																																																									0
JM unique-pole create 54f	1				100					2	54f	key						Tomb Reaver	100		100																										54f	1																												key	1																												0
JM unique-pole next 54g	1				100					2	54g	tsc						54h																													tsc	1																																																									0
JM unique-pole previous 54g	1				100					2	54g	isc						54f																													isc	1																																																									0
JM unique-pole create 54g	1				100					2	54g	key						Viperfork	100		100																										54g	1																												key	1																												0
JM unique-pole next 54h	1				100					2	54h	tsc						54i																													tsc	1																																																									0
JM unique-pole previous 54h	1				100					2	54h	isc						54g																													isc	1																																																									0
JM unique-pole create 54h	1				100					2	54h	key						Woestave	100		100																										54h	1																												key	1																												0
JM unique-pole next 54i	1				100					2	54i	tsc						53n																													tsc	1																																																									0
JM unique-pole previous 54i	1				100					2	54i	isc						54h																													isc	1																																																									0
JM unique-pole create 54i	1				100					2	54i	key						Wraithflight	100		100																										54i	1																												key	1																												0
JM unique-dagger next 54j	1				100					2	54j	tsc						54k																													tsc	1																																																									0
JM unique-dagger previous 54j	1				100					2	54j	isc						54w																													isc	1																																																									0
JM unique-dagger create 54j	1				100					2	54j	key						Blackbog's Sharp	100		100																										54j	1																												key	1																												0
JM unique-dagger next 54k	1				100					2	54k	tsc						54l																													tsc	1																																																									0
JM unique-dagger previous 54k	1				100					2	54k	isc						54j																													isc	1																																																									0
JM unique-dagger create 54k	1				100					2	54k	key						Bloodpact Shard	100		100																										54k	1																												key	1																												0
JM unique-dagger next 54l	1				100					2	54l	tsc						54m																													tsc	1																																																									0
JM unique-dagger previous 54l	1				100					2	54l	isc						54k																													isc	1																																																									0
JM unique-dagger create 54l	1				100					2	54l	key						Deathbit	100		100																										54l	1																												key	1																												0
JM unique-dagger next 54m	1				100					2	54m	tsc						54n																													tsc	1																																																									0
JM unique-dagger previous 54m	1				100					2	54m	isc						54l																													isc	1																																																									0
JM unique-dagger create 54m	1				100					2	54m	key						Fleshripper	100		100																										54m	1																												key	1																												0
JM unique-dagger next 54n	1				100					2	54n	tsc						54o																													tsc	1																																																									0
JM unique-dagger previous 54n	1				100					2	54n	isc						54m																													isc	1																																																									0
JM unique-dagger create 54n	1				100					2	54n	key						Ghostflame	100		100																										54n	1																												key	1																												0
JM unique-dagger next 54o	1				100					2	54o	tsc						54p																													tsc	1																																																									0
JM unique-dagger previous 54o	1				100					2	54o	isc						54n																													isc	1																																																									0
JM unique-dagger create 54o	1				100					2	54o	key						Gull	100		100																										54o	1																												key	1																												0
JM unique-dagger next 54p	1				100					2	54p	tsc						54q																													tsc	1																																																									0
JM unique-dagger previous 54p	1				100					2	54p	isc						54o																													isc	1																																																									0
JM unique-dagger create 54p	1				100					2	54p	key						Heart Carver	100		100																										54p	1																												key	1																												0
JM unique-dagger next 54q	1				100					2	54q	tsc						54r																													tsc	1																																																									0
JM unique-dagger previous 54q	1				100					2	54q	isc						54p																													isc	1																																																									0
JM unique-dagger create 54q	1				100					2	54q	key						Irices Shard	100		100																										54q	1																												key	1																												0
JM unique-dagger next 54r	1				100					2	54r	tsc						54s																													tsc	1																																																									0
JM unique-dagger previous 54r	1				100					2	54r	isc						54q																													isc	1																																																									0
JM unique-dagger create 54r	1				100					2	54r	key						Spineripper	100		100																										54r	1																												key	1																												0
JM unique-dagger next 54s	1				100					2	54s	tsc						54t																													tsc	1																																																									0
JM unique-dagger previous 54s	1				100					2	54s	isc						54r																													isc	1																																																									0
JM unique-dagger create 54s	1				100					2	54s	key						Stormspike	100		100																										54s	1																												key	1																												0
JM unique-dagger next 54t	1				100					2	54t	tsc						54u																													tsc	1																																																									0
JM unique-dagger previous 54t	1				100					2	54t	isc						54s																													isc	1																																																									0
JM unique-dagger create 54t	1				100					2	54t	key						The Diggler	100		100																										54t	1																												key	1																												0
JM unique-dagger next 54u	1				100					2	54u	tsc						54v																													tsc	1																																																									0
JM unique-dagger previous 54u	1				100					2	54u	isc						54t																													isc	1																																																									0
JM unique-dagger create 54u	1				100					2	54u	key						The Jade Tan Do	100		100																										54u	1																												key	1																												0
JM unique-dagger next 54v	1				100					2	54v	tsc						54w																													tsc	1																																																									0
JM unique-dagger previous 54v	1				100					2	54v	isc						54u																													isc	1																																																									0
JM unique-dagger create 54v	1				100					2	54v	key						Warshrike	100		100																										54v	1																												key	1																												0
JM unique-dagger next 54w	1				100					2	54w	tsc						54j																													tsc	1																																																									0
JM unique-dagger previous 54w	1				100					2	54w	isc						54v																													isc	1																																																									0
JM unique-dagger create 54w	1				100					2	54w	key						Wizardspike	100		100																										54w	1																												key	1																												0
JM unique-caster next 54x	1				100					2	54x	tsc						54y																													tsc	1																																																									0
JM unique-caster previous 54x	1				100					2	54x	isc						55l																													isc	1																																																									0
JM unique-caster create 54x	1				100					2	54x	key						Arm of King Leoric	100		100																										54x	1																												key	1																												0
JM unique-caster next 54y	1				100					2	54y	tsc						54z																													tsc	1																																																									0
JM unique-caster previous 54y	1				100					2	54y	isc						54x																													isc	1																																																									0
JM unique-caster create 54y	1				100					2	54y	key						Bane Ash	100		100																										54y	1																												key	1																												0
JM unique-caster next 54z	1				100					2	54z	tsc						550																													tsc	1																																																									0
JM unique-caster previous 54z	1				100					2	54z	isc						54y																													isc	1																																																									0
JM unique-caster create 54z	1				100					2	54z	key						Blackhand Key	100		100																										54z	1																												key	1																												0
JM unique-caster next 550	1				100					2	550	tsc						551																													tsc	1																																																									0
JM unique-caster previous 550	1				100					2	550	isc						54z																													isc	1																																																									0
JM unique-caster create 550	1				100					2	550	key						Boneshade	100		100																										550	1																												key	1																												0
JM unique-caster next 551	1				100					2	551	tsc						552																													tsc	1																																																									0
JM unique-caster previous 551	1				100					2	551	isc						550																													isc	1																																																									0
JM unique-caster create 551	1				100					2	551	key						Carin Shard	100		100																										551	1																												key	1																												0
JM unique-caster next 552	1				100					2	552	tsc						553																													tsc	1																																																									0
JM unique-caster previous 552	1				100					2	552	isc						551																													isc	1																																																									0
JM unique-caster create 552	1				100					2	552	key						Chromatic Ire	100		100																										552	1																												key	1																												0
JM unique-caster next 553	1				100					2	553	tsc						554																													tsc	1																																																									0
JM unique-caster previous 553	1				100					2	553	isc						552																													isc	1																																																									0
JM unique-caster create 553	1				100					2	553	key						Deaths's Web	100		100																										553	1																												key	1																												0
JM unique-caster next 554	1				100					2	554	tsc						555																													tsc	1																																																									0
JM unique-caster previous 554	1				100					2	554	isc						553																													isc	1																																																									0
JM unique-caster create 554	1				100					2	554	key						Eschuta's temper	100		100																										554	1																												key	1																												0
JM unique-caster next 555	1				100					2	555	tsc						556																													tsc	1																																																									0
JM unique-caster previous 555	1				100					2	555	isc						554																													isc	1																																																									0
JM unique-caster create 555	1				100					2	555	key						Fathom	100		100																										555	1																												key	1																												0
JM unique-caster next 556	1				100					2	556	tsc						557																													tsc	1																																																									0
JM unique-caster previous 556	1				100					2	556	isc						555																													isc	1																																																									0
JM unique-caster create 556	1				100					2	556	key						Gravenspine	100		100																										556	1																												key	1																												0
JM unique-caster next 557	1				100					2	557	tsc						558																													tsc	1																																																									0
JM unique-caster previous 557	1				100					2	557	isc						556																													isc	1																																																									0
JM unique-caster create 557	1				100					2	557	key						Iros Torch	100		100																										557	1																												key	1																												0
JM unique-caster next 558	1				100					2	558	tsc						559																													tsc	1																																																									0
JM unique-caster previous 558	1				100					2	558	isc						557																													isc	1																																																									0
JM unique-caster create 558	1				100					2	558	key						Lazarus Spire	100		100																										558	1																												key	1																												0
JM unique-caster next 559	1				100					2	559	tsc						55a																													tsc	1																																																									0
JM unique-caster previous 559	1				100					2	559	isc						558																													isc	1																																																									0
JM unique-caster create 559	1				100					2	559	key						Maelstromwrath	100		100																										559	1																												key	1																												0
JM unique-caster next 55a	1				100					2	55a	tsc						55b																													tsc	1																																																									0
JM unique-caster previous 55a	1				100					2	55a	isc						559																													isc	1																																																									0
JM unique-caster create 55a	1				100					2	55a	key						Mang Song's Lesson	100		100																										55a	1																												key	1																												0
JM unique-caster next 55b	1				100					2	55b	tsc						55c																													tsc	1																																																									0
JM unique-caster previous 55b	1				100					2	55b	isc						55a																													isc	1																																																									0
JM unique-caster create 55b	1				100					2	55b	key						Ondal's Wisdom	100		100																										55b	1																												key	1																												0
JM unique-caster next 55c	1				100					2	55c	tsc						55d																													tsc	1																																																									0
JM unique-caster previous 55c	1				100					2	55c	isc						55b																													isc	1																																																									0
JM unique-caster create 55c	1				100					2	55c	key						Razorswitch	100		100																										55c	1																												key	1																												0
JM unique-caster next 55d	1				100					2	55d	tsc						55e																													tsc	1																																																									0
JM unique-caster previous 55d	1				100					2	55d	isc						55c																													isc	1																																																									0
JM unique-caster create 55d	1				100					2	55d	key						Ribcracker	100		100																										55d	1																												key	1																												0
JM unique-caster next 55e	1				100					2	55e	tsc						55f																													tsc	1																																																									0
JM unique-caster previous 55e	1				100					2	55e	isc						55d																													isc	1																																																									0
JM unique-caster create 55e	1				100					2	55e	key						Serpent Lord	100		100																										55e	1																												key	1																												0
JM unique-caster next 55f	1				100					2	55f	tsc						55g																													tsc	1																																																									0
JM unique-caster previous 55f	1				100					2	55f	isc						55e																													isc	1																																																									0
JM unique-caster create 55f	1				100					2	55f	key						Skullcollector	100		100																										55f	1																												key	1																												0
JM unique-caster next 55g	1				100					2	55g	tsc						55h																													tsc	1																																																									0
JM unique-caster previous 55g	1				100					2	55g	isc						55f																													isc	1																																																									0
JM unique-caster create 55g	1				100					2	55g	key						Suicide Branch	100		100																										55g	1																												key	1																												0
JM unique-caster next 55h	1				100					2	55h	tsc						55i																													tsc	1																																																									0
JM unique-caster previous 55h	1				100					2	55h	isc						55g																													isc	1																																																									0
JM unique-caster create 55h	1				100					2	55h	key						The Iron Jang Bong	100		100																										55h	1																												key	1																												0
JM unique-caster next 55i	1				100					2	55i	tsc						55j																													tsc	1																																																									0
JM unique-caster previous 55i	1				100					2	55i	isc						55h																													isc	1																																																									0
JM unique-caster create 55i	1				100					2	55i	key						The Oculus	100		100																										55i	1																												key	1																												0
JM unique-caster next 55j	1				100					2	55j	tsc						55k																													tsc	1																																																									0
JM unique-caster previous 55j	1				100					2	55j	isc						55i																													isc	1																																																									0
JM unique-caster create 55j	1				100					2	55j	key						The Salamander	100		100																										55j	1																												key	1																												0
JM unique-caster next 55k	1				100					2	55k	tsc						55l																													tsc	1																																																									0
JM unique-caster previous 55k	1				100					2	55k	isc						55j																													isc	1																																																									0
JM unique-caster create 55k	1				100					2	55k	key						Umes Lament	100		100																										55k	1																												key	1																												0
JM unique-caster next 55l	1				100					2	55l	tsc						54x																													tsc	1																																																									0
JM unique-caster previous 55l	1				100					2	55l	isc						55k																													isc	1																																																									0
JM unique-caster create 55l	1				100					2	55l	key						Warpspear	100		100																										55l	1																												key	1																												0
JM unique-class-weapon next 55m	1				100					2	55m	tsc						55n																													tsc	1																																																									0
JM unique-class-weapon previous 55m	1				100					2	55m	isc						55v																													isc	1																																																									0
JM unique-class-weapon create 55m	1				100					2	55m	key						Bloodraven's Charge	100		100																										55m	1																												key	1																												0
JM unique-class-weapon next 55n	1				100					2	55n	tsc						55o																													tsc	1																																																									0
JM unique-class-weapon previous 55n	1				100					2	55n	isc						55m																													isc	1																																																									0
JM unique-class-weapon create 55n	1				100					2	55n	key						Cutthroat1	100		100																										55n	1																												key	1																												0
JM unique-class-weapon next 55o	1				100					2	55o	tsc						55p																													tsc	1																																																									0
JM unique-class-weapon previous 55o	1				100					2	55o	isc						55n																													isc	1																																																									0
JM unique-class-weapon create 55o	1				100					2	55o	key						Firelizard's Talons	100		100																										55o	1																												key	1																												0
JM unique-class-weapon next 55p	1				100					2	55p	tsc						55q																													tsc	1																																																									0
JM unique-class-weapon previous 55p	1				100					2	55p	isc						55o																													isc	1																																																									0
JM unique-class-weapon create 55p	1				100					2	55p	key						Jadetalon	100		100																										55p	1																												key	1																												0
JM unique-class-weapon next 55q	1				100					2	55q	tsc						55r																													tsc	1																																																									0
JM unique-class-weapon previous 55q	1				100					2	55q	isc						55p																													isc	1																																																									0
JM unique-class-weapon create 55q	1				100					2	55q	key						Lycander's Aim	100		100																										55q	1																												key	1																												0
JM unique-class-weapon next 55r	1				100					2	55r	tsc						55s																													tsc	1																																																									0
JM unique-class-weapon previous 55r	1				100					2	55r	isc						55q																													isc	1																																																									0
JM unique-class-weapon create 55r	1				100					2	55r	key						Lycander's Flank	100		100																										55r	1																												key	1																												0
JM unique-class-weapon next 55s	1				100					2	55s	tsc						55t																													tsc	1																																																									0
JM unique-class-weapon previous 55s	1				100					2	55s	isc						55r																													isc	1																																																									0
JM unique-class-weapon create 55s	1				100					2	55s	key						Shadowkiller	100		100																										55s	1																												key	1																												0
JM unique-class-weapon next 55t	1				100					2	55t	tsc						55u																													tsc	1																																																									0
JM unique-class-weapon previous 55t	1				100					2	55t	isc						55s																													isc	1																																																									0
JM unique-class-weapon create 55t	1				100					2	55t	key						Stoneraven	100		100																										55t	1																												key	1																												0
JM unique-class-weapon next 55u	1				100					2	55u	tsc						55v																													tsc	1																																																									0
JM unique-class-weapon previous 55u	1				100					2	55u	isc						55t																													isc	1																																																									0
JM unique-class-weapon create 55u	1				100					2	55u	key						Thunderstroke	100		100																										55u	1																												key	1																												0
JM unique-class-weapon next 55v	1				100					2	55v	tsc						55m																													tsc	1																																																									0
JM unique-class-weapon previous 55v	1				100					2	55v	isc						55u																													isc	1																																																									0
JM unique-class-weapon create 55v	1				100					2	55v	key						Titan's Revenge	100		100																										55v	1																												key	1																												0
JM unique-body next 55w	1				100					2	55w	tsc						55x																													tsc	1																																																									0
JM unique-body previous 55w	1				100					2	55w	isc						56w																													isc	1																																																									0
JM unique-body create 55w	1				100					2	55w	key						Arkaine's Valor	100		100																										55w	1																												key	1																												0
JM unique-body next 55x	1				100					2	55x	tsc						55y																													tsc	1																																																									0
JM unique-body previous 55x	1				100					2	55x	isc						55w																													isc	1																																																									0
JM unique-body create 55x	1				100					2	55x	key						Atma's Wail	100		100																										55x	1																												key	1																												0
JM unique-body next 55y	1				100					2	55y	tsc						55z																													tsc	1																																																									0
JM unique-body previous 55y	1				100					2	55y	isc						55x																													isc	1																																																									0
JM unique-body create 55y	1				100					2	55y	key						Black Hades	100		100																										55y	1																												key	1																												0
JM unique-body next 55z	1				100					2	55z	tsc						560																													tsc	1																																																									0
JM unique-body previous 55z	1				100					2	55z	isc						55y																													isc	1																																																									0
JM unique-body create 55z	1				100					2	55z	key						Blinkbats Form	100		100																										55z	1																												key	1																												0
JM unique-body next 560	1				100					2	560	tsc						561																													tsc	1																																																									0
JM unique-body previous 560	1				100					2	560	isc						55z																													isc	1																																																									0
JM unique-body create 560	1				100					2	560	key						Boneflesh	100		100																										560	1																												key	1																												0
JM unique-body next 561	1				100					2	561	tsc						562																													tsc	1																																																									0
JM unique-body previous 561	1				100					2	561	isc						560																													isc	1																																																									0
JM unique-body create 561	1				100					2	561	key						Corpsemourn	100		100																										561	1																												key	1																												0
JM unique-body next 562	1				100					2	562	tsc						563																													tsc	1																																																									0
JM unique-body previous 562	1				100					2	562	isc						561																													isc	1																																																									0
JM unique-body create 562	1				100					2	562	key						Crow Caw	100		100																										562	1																												key	1																												0
JM unique-body next 563	1				100					2	563	tsc						564																													tsc	1																																																									0
JM unique-body previous 563	1				100					2	563	isc						562																													isc	1																																																									0
JM unique-body create 563	1				100					2	563	key						Darkglow	100		100																										563	1																												key	1																												0
JM unique-body next 564	1				100					2	564	tsc						565																													tsc	1																																																									0
JM unique-body previous 564	1				100					2	564	isc						563																													isc	1																																																									0
JM unique-body create 564	1				100					2	564	key						Duriel's Shell	100		100																										564	1																												key	1																												0
JM unique-body next 565	1				100					2	565	tsc						566																													tsc	1																																																									0
JM unique-body previous 565	1				100					2	565	isc						564																													isc	1																																																									0
JM unique-body create 565	1				100					2	565	key						Goldskin	100		100																										565	1																												key	1																												0
JM unique-body next 566	1				100					2	566	tsc						567																													tsc	1																																																									0
JM unique-body previous 566	1				100					2	566	isc						565																													isc	1																																																									0
JM unique-body create 566	1				100					2	566	key						Greyform	100		100																										566	1																												key	1																												0
JM unique-body next 567	1				100					2	567	tsc						568																													tsc	1																																																									0
JM unique-body previous 567	1				100					2	567	isc						566																													isc	1																																																									0
JM unique-body create 567	1				100					2	567	key						Guardian Angel	100		100																										567	1																												key	1																												0
JM unique-body next 568	1				100					2	568	tsc						569																													tsc	1																																																									0
JM unique-body previous 568	1				100					2	568	isc						567																													isc	1																																																									0
JM unique-body create 568	1				100					2	568	key						Hawkmail	100		100																										568	1																												key	1																												0
JM unique-body next 569	1				100					2	569	tsc						56a																													tsc	1																																																									0
JM unique-body previous 569	1				100					2	569	isc						568																													isc	1																																																									0
JM unique-body create 569	1				100					2	569	key						Heavenly Garb	100		100																										569	1																												key	1																												0
JM unique-body next 56a	1				100					2	56a	tsc						56b																													tsc	1																																																									0
JM unique-body previous 56a	1				100					2	56a	isc						569																													isc	1																																																									0
JM unique-body create 56a	1				100					2	56a	key						Iceblink	100		100																										56a	1																												key	1																												0
JM unique-body next 56b	1				100					2	56b	tsc						56c																													tsc	1																																																									0
JM unique-body previous 56b	1				100					2	56b	isc						56a																													isc	1																																																									0
JM unique-body create 56b	1				100					2	56b	key						Ironpelt	100		100																										56b	1																												key	1																												0
JM unique-body next 56c	1				100					2	56c	tsc						56d																													tsc	1																																																									0
JM unique-body previous 56c	1				100					2	56c	isc						56b																													isc	1																																																									0
JM unique-body create 56c	1				100					2	56c	key						Leviathan	100		100																										56c	1																												key	1																												0
JM unique-body next 56d	1				100					2	56d	tsc						56e																													tsc	1																																																									0
JM unique-body previous 56d	1				100					2	56d	isc						56c																													isc	1																																																									0
JM unique-body create 56d	1				100					2	56d	key						Ormus' Robes	100		100																										56d	1																												key	1																												0
JM unique-body next 56e	1				100					2	56e	tsc						56f																													tsc	1																																																									0
JM unique-body previous 56e	1				100					2	56e	isc						56d																													isc	1																																																									0
JM unique-body create 56e	1				100					2	56e	key						Que-Hegan's Wisdon	100		100																										56e	1																												key	1																												0
JM unique-body next 56f	1				100					2	56f	tsc						56g																													tsc	1																																																									0
JM unique-body previous 56f	1				100					2	56f	isc						56e																													isc	1																																																									0
JM unique-body create 56f	1				100					2	56f	key						Rattlecage	100		100																										56f	1																												key	1																												0
JM unique-body next 56g	1				100					2	56g	tsc						56h																													tsc	1																																																									0
JM unique-body previous 56g	1				100					2	56g	isc						56f																													isc	1																																																									0
JM unique-body create 56g	1				100					2	56g	key						Rockfleece	100		100																										56g	1																												key	1																												0
JM unique-body next 56h	1				100					2	56h	tsc						56i																													tsc	1																																																									0
JM unique-body previous 56h	1				100					2	56h	isc						56g																													isc	1																																																									0
JM unique-body create 56h	1				100					2	56h	key						Shaftstop	100		100																										56h	1																												key	1																												0
JM unique-body next 56i	1				100					2	56i	tsc						56j																													tsc	1																																																									0
JM unique-body previous 56i	1				100					2	56i	isc						56h																													isc	1																																																									0
JM unique-body create 56i	1				100					2	56i	key						Skin of the Flayerd One	100		100																										56i	1																												key	1																												0
JM unique-body next 56j	1				100					2	56j	tsc						56k																													tsc	1																																																									0
JM unique-body previous 56j	1				100					2	56j	isc						56i																													isc	1																																																									0
JM unique-body create 56j	1				100					2	56j	key						Skin of the Vipermagi	100		100																										56j	1																												key	1																												0
JM unique-body next 56k	1				100					2	56k	tsc						56l																													tsc	1																																																									0
JM unique-body previous 56k	1				100					2	56k	isc						56j																													isc	1																																																									0
JM unique-body create 56k	1				100					2	56k	key						Skullder's Ire	100		100																										56k	1																												key	1																												0
JM unique-body next 56l	1				100					2	56l	tsc						56m																													tsc	1																																																									0
JM unique-body previous 56l	1				100					2	56l	isc						56k																													isc	1																																																									0
JM unique-body create 56l	1				100					2	56l	key						Sparking Mail	100		100																										56l	1																												key	1																												0
JM unique-body next 56m	1				100					2	56m	tsc						56n																													tsc	1																																																									0
JM unique-body previous 56m	1				100					2	56m	isc						56l																													isc	1																																																									0
JM unique-body create 56m	1				100					2	56m	key						Spiritforge	100		100																										56m	1																												key	1																												0
JM unique-body next 56n	1				100					2	56n	tsc						56o																													tsc	1																																																									0
JM unique-body previous 56n	1				100					2	56n	isc						56m																													isc	1																																																									0
JM unique-body create 56n	1				100					2	56n	key						Steel Carapice	100		100																										56n	1																												key	1																												0
JM unique-body next 56o	1				100					2	56o	tsc						56p																													tsc	1																																																									0
JM unique-body previous 56o	1				100					2	56o	isc						56n																													isc	1																																																									0
